[Gene ID]	[source_id]	[Product Description]	[Curated GO Functions]	[Computed GO Functions]	[Evidence Code]	[Computed GO Function IDs]	[Curated GO Function IDs]	[Computed GO Component IDs]	[Computed GO Components]	[Computed GO Process IDs]	[Computed GO Processes]	[Curated GO Component IDs]	[Curated GO Components]	[Curated GO Process IDs]	[Curated GO Processes]	
Tb927.11.5710	Tb927.11.5710:mRNA	chaperone protein DnaJ, putative	N/A	N/A	ISM	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0006457	protein folding	
Tb927.11.5730	Tb927.11.5730:mRNA	pre-mRNA-splicing factor ATP-dependent RNA helicase, putative	ATP-dependent RNA helicase activity, nucleic acid binding	ATP binding, helicase activity, nucleic acid binding	IEA, ISA	GO:0005524, GO:0004386, GO:0003676	GO:0004004, GO:0003676	N/A	N/A	N/A	N/A	N/A	N/A	GO:0000398	mRNA splicing, via spliceosome	
Tb927.11.5740	Tb927.11.5740:mRNA	formin-like protein	actin binding	N/A	ISM, RCA	N/A	GO:0003779	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.5750	Tb927.11.5750:mRNA	hypothetical protein, conserved	N/A	N/A	EXP, IDA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0035869	ciliary transition zone	N/A	N/A	
Tb927.11.5760	Tb927.11.5760:mRNA	hypothetical protein, conserved	N/A	N/A	EXP, RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737, GO:0005739	cytoplasm, mitochondrion	N/A	N/A	
Tb927.11.5770	Tb927.11.5770:mRNA	hypothetical protein, conserved	N/A	protein binding	EXP, IDA, IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	GO:0097543	ciliary inversin compartment	N/A	N/A	
Tb927.11.5780	Tb927.11.5780:mRNA	DNA-directed RNA polymerase, mitochondrial	DNA binding, mitochondrial single subunit type RNA polymerase activity	DNA binding, DNA-directed RNA polymerase activity	EXP, IEA, IMP, ISM, ISS, RCA	GO:0003677, GO:0003899	GO:0003677, GO:0001065	N/A	N/A	GO:0006351	transcription, DNA-templated	GO:0097014, GO:0005739	ciliary cytoplasm, mitochondrion	GO:0006264, GO:0006390	mitochondrial DNA replication, transcription from mitochondrial promoter	
Tb927.11.5820	Tb927.11.5820:mRNA	Inhibitor of apoptosis-promoting Bax1, putative	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.5830	Tb927.11.5830:mRNA	YL1 nuclear protein, putative	N/A	N/A	IEA	N/A	N/A	GO:0005634	nucleus	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	
Tb927.11.5840	Tb927.11.5840:mRNA	Protein translation factor SUI1 homolog, putative	translation initiation factor activity	translation initiation factor activity	EXP, IDA, IEA, ISM	GO:0003743	GO:0003743	N/A	N/A	GO:0006413	translational initiation	GO:0005737	cytoplasm	GO:0010608, GO:0006413	posttranscriptional regulation of gene expression, translational initiation	
Tb927.11.5850	Tb927.11.5850:mRNA	RNA-binding protein 38, putative	mRNA binding	N/A	EXP, IDA, ISM	N/A	GO:0003729	N/A	N/A	N/A	N/A	GO:0005737, GO:0005829	cytoplasm, cytosol	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.11.5860	Tb927.11.5860:mRNA	protein kinase, putative	ATP binding, protein serine/threonine kinase activity	ATP binding, protein kinase activity	EXP, IEA, ISM	GO:0005524, GO:0004672	GO:0005524, GO:0004674	N/A	N/A	GO:0006468	protein phosphorylation	GO:0097014, GO:0031981	ciliary cytoplasm, nuclear lumen	GO:0006468	protein phosphorylation	
Tb927.11.5870	Tb927.11.5870:mRNA	hypothetical protein, conserved	N/A	N-acetyltransferase activity, protein binding, zinc ion binding	IEA	GO:0008080, GO:0005515, GO:0008270	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.5880	Tb927.11.5880:mRNA	hypothetical protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.5890	Tb927.11.5890:mRNA	Domain of unknown function (DUF4505), putative	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005930	axoneme	N/A	N/A	
Tb927.11.590	Tb927.11.590:mRNA	hypothetical protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.5920	Tb927.11.5920:mRNA	conserved protein	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.5940	Tb927.11.5940:mRNA	receptor-type adenylate cyclase GRESAG 4, putative	adenylate cyclase activity	phosphorus-oxygen lyase activity	IEA, ISM	GO:0016849	GO:0004016	N/A	N/A	GO:0009190, GO:0035556	cyclic nucleotide biosynthetic process, intracellular signal transduction	GO:0016021	integral component of membrane	GO:0035556	intracellular signal transduction	
Tb927.11.5960	Tb927.11.5960:mRNA	hypothetical protein, conserved	N/A	N/A	IDA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.11.5970	Tb927.11.5970:mRNA	phosphoinositide-specific phospholipase C, putative	phospholipase C activity	calcium ion binding, phosphatidylinositol phospholipase C activity, protein binding	EXP, IEA, ISM	GO:0005509, GO:0004435, GO:0005515	GO:0004629	N/A	N/A	GO:0035556, GO:0006629	intracellular signal transduction, lipid metabolic process	GO:0005737	cytoplasm	GO:0035556	intracellular signal transduction	
Tb927.11.5980	Tb927.11.5980:mRNA	conserved protein	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.5990	Tb927.11.5990:mRNA	hypothetical protein, conserved	N/A	RNA binding, pseudouridine synthase activity	IEA, RCA	GO:0003723, GO:0009982	N/A	N/A	N/A	GO:0001522	pseudouridine synthesis	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.600	Tb927.11.600:mRNA	hypothetical protein, conserved	N/A	N/A	EXP, IDA, RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737, GO:0005739	cytoplasm, mitochondrion	N/A	N/A	
Tb927.11.6000	Tb927.11.6000:mRNA	ribosomal protein L4/L1 family, putative	N/A	structural constituent of ribosome	EXP, IEA, RCA	GO:0003735	N/A	GO:0005840	ribosome	GO:0006412	translation	GO:0005737, GO:0005739	cytoplasm, mitochondrion	N/A	N/A	
Tb927.11.6010	Tb927.11.6010:mRNA	conserved protein, unknown function	N/A	N/A	EXP, IDA, RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737, GO:0005739	cytoplasm, mitochondrion	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.11.6030	Tb927.11.6030:mRNA	ras-like small GTPase, putative	GTPase activity	GTP binding, GTPase activity	IEA, ISM	GO:0005525, GO:0003924	GO:0003924	GO:0005622, GO:0016020	intracellular, membrane	GO:0006886, GO:0006913, GO:0006184, GO:0007264	intracellular protein transport, nucleocytoplasmic transport, obsolete GTP catabolic process, small GTPase mediated signal transduction	N/A	N/A	GO:0007264	small GTPase mediated signal transduction	
Tb927.11.6040	Tb927.11.6040:mRNA	Nodulin-like, putative	N/A	N/A	EXP, ISM	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737, GO:0016021	cytoplasm, integral component of membrane	N/A	N/A	
Tb927.11.6060	Tb927.11.6060:mRNA	major facilitator superfamily, putative	N/A	N/A	IEA	N/A	N/A	GO:0016021	integral component of membrane	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	
Tb927.11.6070	Tb927.11.6070:mRNA	hypothetical protein, conserved	N/A	binding	EXP, IEA	GO:0005488	N/A	N/A	N/A	N/A	N/A	GO:0005930	axoneme	N/A	N/A	
Tb927.11.6090	Tb927.11.6090:mRNA	tatD related deoxyribonuclease, putative	deoxyribonuclease activity	endodeoxyribonuclease activity, producing 5'-phosphomonoesters	EXP, IEA, ISM	GO:0016888	GO:0004536	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.11.610	Tb927.11.610:mRNA	hypothetical protein, conserved	N/A	N/A	IDA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.11.6100	Tb927.11.6100:mRNA	hypothetical protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.6120	Tb927.11.6120:mRNA	ABC transporter, putative	ATP binding, ATPase activity, coupled to transmembrane movement of substances	ATP binding, ATPase activity	IEA, ISM	GO:0005524, GO:0016887	GO:0005524, GO:0042626	N/A	N/A	N/A	N/A	GO:0009898, GO:0016021	cytoplasmic side of plasma membrane, integral component of membrane	N/A	N/A	
Tb927.11.6130	Tb927.11.6130:mRNA	SKP1-like protein	N/A	N/A	EXP, IDA, IEA, ISM	N/A	N/A	N/A	N/A	GO:0006511	ubiquitin-dependent protein catabolic process	GO:0005930	axoneme	GO:0010608, GO:0006511	posttranscriptional regulation of gene expression, ubiquitin-dependent protein catabolic process	
Tb927.11.6140	Tb927.11.6140:mRNA	40S ribosomal protein S15A, putative	structural constituent of ribosome	structural constituent of ribosome	IEA, ISM	GO:0003735	GO:0003735	GO:0005840	ribosome	GO:0006412	translation	GO:0000314	organellar small ribosomal subunit	GO:0006412	translation	
Tb927.11.6150	Tb927.11.6150:mRNA	60Kd inner membrane protein, putative	N/A	N/A	IEA, RCA	N/A	N/A	GO:0016021	integral component of membrane	GO:0051205	protein insertion into membrane	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.6160	Tb927.11.6160:mRNA	eukaryotic release factor 3, putative	GTP binding, mRNA binding, translation elongation factor activity	GTP binding, GTPase activity	EXP, IDA, IEA, ISA, ISM, ISS	GO:0005525, GO:0003924	GO:0005525, GO:0003729, GO:0003746	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	GO:0010608, GO:0006414	posttranscriptional regulation of gene expression, translational elongation	
Tb927.11.6170	Tb927.11.6170:mRNA	protein transport protein SEC31, putative	protein binding	protein binding	IDA, IEA, IPI, ISA	GO:0005515	GO:0005515	N/A	N/A	N/A	N/A	GO:0070971	endoplasmic reticulum exit site	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.11.6180	Tb927.11.6180:mRNA	60S ribosomal protein L28, putative	mRNA binding, structural constituent of ribosome	N/A	EXP, IDA, ISM	N/A	GO:0003729, GO:0003735	N/A	N/A	N/A	N/A	GO:0005737, GO:0005840	cytoplasm, ribosome	GO:0006412	translation	
Tb927.11.620	Tb927.11.620:mRNA	Regulatory-associated protein of TOR1	protein binding	binding	IEA, IMP, IPI	GO:0005488	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	GO:1903432, GO:0008361	regulation of TORC1 signaling, regulation of cell size	
Tb927.11.6200	Tb927.11.6200:mRNA	60S ribosomal protein L28, putative	mRNA binding, structural constituent of ribosome	N/A	EXP, IDA, ISM	N/A	GO:0003729, GO:0003735	N/A	N/A	N/A	N/A	GO:0005737, GO:0005840	cytoplasm, ribosome	GO:0006412	translation	
Tb927.11.6210	Tb927.11.6210:mRNA	Lanosterol 14-alpha demethylase	heme binding, sterol 14-demethylase activity	heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	IEA, ISO	GO:0020037, GO:0005506, GO:0016705	GO:0020037, GO:0008398	N/A	N/A	GO:0055114	oxidation-reduction process	N/A	N/A	GO:0044091	membrane biogenesis	
Tb927.11.6220	Tb927.11.6220:mRNA	palmitoyl acyltransferase 7, putative	N/A	zinc ion binding	IEA, ISM	GO:0008270	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	GO:0006897, GO:0018345	endocytosis, protein palmitoylation	
Tb927.11.6230	Tb927.11.6230:mRNA	protein transport protein SEC61 subunit alpha, putative	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	N/A	EXP, IEA, ISA, ISM	N/A	GO:0015450	GO:0016020	membrane	GO:0015031	protein transport	GO:0005784, GO:0016021	Sec61 translocon complex, integral component of membrane	GO:0009306	protein secretion	
Tb927.11.6240	Tb927.11.6240:mRNA	hypothetical protein, conserved	N/A	N/A	IDA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.11.6250	Tb927.11.6250:mRNA	hypothetical protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005743	mitochondrial inner membrane	N/A	N/A	
Tb927.11.6270	Tb927.11.6270:mRNA	inositol-1,4,5-trisphosphate (IP3) 5-phosphatase, putative	inositol-polyphosphate 5-phosphatase activity	N/A	IEA, ISA, ISM	N/A	GO:0004445	N/A	N/A	GO:0046856	phosphatidylinositol dephosphorylation	N/A	N/A	GO:0035556	intracellular signal transduction	
Tb927.11.6280	Tb927.11.6280:mRNA	pyruvate phosphate dikinase	pyruvate, phosphate dikinase activity	ATP binding, kinase activity, pyruvate, phosphate dikinase activity	EXP, IDA, IEA, ISM	GO:0005524, GO:0016301, GO:0050242	GO:0050242	N/A	N/A	GO:0016310, GO:0006090	phosphorylation, pyruvate metabolic process	GO:0020015	glycosome	GO:0016310	phosphorylation	
Tb927.11.630	Tb927.11.630:mRNA	RNA polymerase I second largest subunit	DNA-directed RNA polymerase activity	DNA binding, DNA-directed RNA polymerase activity	EXP, IEA, ISM	GO:0003677, GO:0003899	GO:0003899	GO:0005634	nucleus	GO:0006351	transcription, DNA-templated	GO:0005654, GO:0005634	nucleoplasm, nucleus	GO:0006351	transcription, DNA-templated	
Tb927.11.6300	Tb927.11.6300:mRNA	40S ribosomal protein S5, putative	mRNA binding, structural constituent of ribosome	structural constituent of ribosome	EXP, IDA, IEA, ISM	GO:0003735	GO:0003729, GO:0003735	GO:0015935	small ribosomal subunit	GO:0006412	translation	GO:0005737	cytoplasm	GO:0006412	translation	
Tb927.11.6320	Tb927.11.6320:mRNA	MRB1-associated protein	N/A	metal ion binding	IEA	GO:0046872	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6330	Tb927.11.6330:mRNA	6-phosphogluconolactonase	6-phosphogluconolactonase activity	6-phosphogluconolactonase activity	EXP, IC, IDA, IEA, ISA, ISM	GO:0017057	GO:0017057	N/A	N/A	GO:0005975, GO:0006098	carbohydrate metabolic process, pentose-phosphate shunt	GO:0020015	glycosome	GO:0006098	pentose-phosphate shunt	
Tb927.11.6340	Tb927.11.6340:mRNA	PUB domain containing protein, putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6350	Tb927.11.6350:mRNA	AAA ATPase, putative	ATPase activity	ATP binding	EXP, IEA, ISM	GO:0005524	GO:0016887	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	
Tb927.11.6360	Tb927.11.6360:mRNA	60S ribosomal protein L24, putative	structural constituent of ribosome	N/A	ISM	N/A	GO:0003735	N/A	N/A	N/A	N/A	GO:0005840	ribosome	GO:0006412	translation	
Tb927.11.6370	Tb927.11.6370:mRNA	leucine-rich repeat protein (LRRP), putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6390	Tb927.11.6390:mRNA	START domain containing protein, putative	N/A	lipid binding	IEA	GO:0008289	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.640	Tb927.11.640:mRNA	pentatricopeptide repeat domain containing protein, putative	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.6400	Tb927.11.6400:mRNA	kinesin, putative	ATP binding, motor activity	ATP binding, microtubule binding, microtubule motor activity	EXP, IEA, ISM	GO:0005524, GO:0008017, GO:0003777	GO:0005524, GO:0003774	N/A	N/A	GO:0007018	microtubule-based movement	GO:0051286, GO:0005737, GO:0005871	cell tip, cytoplasm, kinesin complex	N/A	N/A	
Tb927.11.6410	Tb927.11.6410:mRNA	hypothetical protein, conserved	N/A	RNA binding, protein binding	IEA	GO:0003723, GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6420	Tb927.11.6420:mRNA	hypothetical protein, conserved	N/A	binding	EXP, IEA	GO:0005488	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	
Tb927.11.6430	Tb927.11.6430:mRNA	hypothetical protein, conserved	mRNA binding	N/A	EXP, IDA	N/A	GO:0003729	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.11.6440	Tb927.11.6440:mRNA	hypothetical protein, conserved	mRNA binding	N/A	EXP, IDA	N/A	GO:0003729	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	GO:0010608	posttranscriptional regulation of gene expression	
Tb927.11.6450	Tb927.11.6450:mRNA	Serine incorporator (Serinc), putative	N/A	N/A	IEA	N/A	N/A	GO:0016020	membrane	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6460	Tb927.11.6460:mRNA	hypothetical protein, conserved	N/A	calcium ion binding	EXP, IDA, IEA	GO:0005509	N/A	N/A	N/A	N/A	N/A	GO:0005930, GO:0005737	axoneme, cytoplasm	N/A	N/A	
Tb927.11.6470	Tb927.11.6470:mRNA	hypothetical protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.6480	Tb927.11.6480:mRNA	FHA domain containing protein, putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6500	Tb927.11.6500:mRNA	40S ribosomal protein S21, putative	structural constituent of ribosome	structural constituent of ribosome	EXP, IDA, IEA, ISM	GO:0003735	GO:0003735	GO:0005840	ribosome	GO:0006412	translation	GO:0005737, GO:0005840	cytoplasm, ribosome	GO:0010608, GO:0006412	posttranscriptional regulation of gene expression, translation	
Tb927.11.6510	Tb927.11.6510:mRNA	40S ribosomal protein S21, putative	structural constituent of ribosome	structural constituent of ribosome	EXP, IEA, ISM	GO:0003735	GO:0003735	GO:0005840	ribosome	GO:0006412	translation	GO:0005737, GO:0005840	cytoplasm, ribosome	GO:0006412	translation	
Tb927.11.6530	Tb927.11.6530:mRNA	hypothetical protein, conserved	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005930	axoneme	N/A	N/A	
Tb927.11.6540	Tb927.11.6540:mRNA	hypothetical protein, conserved	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6550	Tb927.11.6550:mRNA	PUF nine target 1	N/A	N/A	IDA, RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020023	kinetoplast	N/A	N/A	
Tb927.11.6560	Tb927.11.6560:mRNA	Centriole protein POC11, putative	N/A	N/A	EXP, IDA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0036064	ciliary basal body	N/A	N/A	
Tb927.11.6570	Tb927.11.6570:mRNA	Nodulin-like, putative	calcium ion binding	N/A	EXP, ISM	N/A	GO:0005509	N/A	N/A	N/A	N/A	GO:0005783, GO:0016021, GO:0005635	endoplasmic reticulum, integral component of membrane, nuclear envelope	N/A	N/A	
Tb927.11.6590	Tb927.11.6590:mRNA	metallo-peptidase, Clan MF, Family M17	aminopeptidase activity, protein binding	aminopeptidase activity	IEA, IPI, ISM	GO:0004177	GO:0004177, GO:0005515	GO:0005622	intracellular	GO:0006508	proteolysis	N/A	N/A	GO:0006508	proteolysis	
Tb927.11.660	Tb927.11.660:mRNA	predicted zinc finger protein	N/A	zinc ion binding	EXP, IEA	GO:0008270	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.11.6600	Tb927.11.6600:mRNA	conserved protein, unknown function	N/A	N/A	EXP, IDA, IMP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0097014, GO:0010494, GO:0031981	ciliary cytoplasm, cytoplasmic stress granule, nuclear lumen	GO:0044145, GO:0010608, GO:0052106	modulation of development of symbiont involved in interaction with host, posttranscriptional regulation of gene expression, quorum sensing involved in interaction with host	
Tb927.11.6620	Tb927.11.6620:mRNA	nucleic acid binding protein, putative	nucleic acid binding	nucleic acid binding, zinc ion binding	IEA, ISM	GO:0003676, GO:0008270	GO:0003676	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6630	Tb927.11.6630:mRNA	3-methylcrotonoyl-CoA carboxylase beta subunit, putative	methylcrotonoyl-CoA carboxylase activity	ligase activity	IDA, IEA, ISA, ISM, RCA	GO:0016874	GO:0004485	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.6640	Tb927.11.6640:mRNA	cytochrome b5, putative	glutathione-disulfide reductase activity	heme binding	IEA, ISA, ISM, ISS, RCA	GO:0020037	GO:0004362	N/A	N/A	N/A	N/A	GO:0016021, GO:0005743	integral component of membrane, mitochondrial inner membrane	GO:0055114	oxidation-reduction process	
Tb927.11.6660	Tb927.11.6660:mRNA	Tex-like protein N-terminal domain/Helix-hairpin-helix motif containing protein, putative	N/A	hydrolase activity, acting on ester bonds, nucleic acid binding	IEA, RCA	GO:0016788, GO:0003676	N/A	N/A	N/A	GO:0006139	nucleobase-containing compound metabolic process	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.6670	Tb927.11.6670:mRNA	hypothetical protein, conserved	N/A	RNA binding, pseudouridine synthase activity	IEA	GO:0003723, GO:0009982	N/A	N/A	N/A	GO:0001522	pseudouridine synthesis	N/A	N/A	N/A	N/A	
Tb927.11.6680	Tb927.11.6680:mRNA	amino acid permease/transporter, putative	amine transmembrane transporter activity	amino acid transmembrane transporter activity	IEA, ISM	GO:0015171	GO:0005275	GO:0016020	membrane	GO:0003333	amino acid transmembrane transport	GO:0016021	integral component of membrane	GO:0006865	amino acid transport	
Tb927.11.6690	Tb927.11.6690:mRNA	protein kinase, putative	ATP binding, protein kinase activity	ATP binding, protein kinase activity	IEA, ISM	GO:0005524, GO:0004672	GO:0005524, GO:0004672	N/A	N/A	GO:0006468	protein phosphorylation	N/A	N/A	GO:0006468	protein phosphorylation	
Tb927.11.670	Tb927.11.670:mRNA	epsinR	clathrin binding	N/A	EXP, ISA	N/A	GO:0030276	N/A	N/A	N/A	N/A	GO:0020016, GO:0030132, GO:0005829, GO:0010008	ciliary pocket, clathrin coat of coated pit, cytosol, endosome membrane	GO:0006898	receptor-mediated endocytosis	
Tb927.11.6700	Tb927.11.6700:mRNA	hypothetical protein, conserved	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.6710	Tb927.11.6710:mRNA	predicted tetratricopeptide repeat (TPR) protein	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6720	Tb927.11.6720:mRNA	mRNA cap guanine-N7 methyltransferase, putative	mRNA (guanine-N7-)-methyltransferase activity, protein binding	N/A	IDA, IPI, ISM	N/A	GO:0004482, GO:0005515	N/A	N/A	N/A	N/A	GO:0010494, GO:0016281	cytoplasmic stress granule, eukaryotic translation initiation factor 4F complex	N/A	N/A	
Tb927.11.6740	Tb927.11.6740:mRNA	pumilio/PUF RNA binding protein 10, putative	mRNA binding	RNA binding	EXP, IDA, IEA, ISS	GO:0003723	GO:0003729	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016071	mRNA metabolic process	
Tb927.11.6750	Tb927.11.6750:mRNA	DNA ligase, putative	DNA ligase (ATP) activity	N/A	ISM	N/A	GO:0003910	N/A	N/A	N/A	N/A	N/A	N/A	GO:0006281, GO:0006260	DNA repair, DNA replication	
Tb927.11.6760	Tb927.11.6760:mRNA	leucine-rich repeat protein (LRRP), putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb927.11.6770	Tb927.11.6770:mRNA	hypothetical protein, conserved	N/A	N/A	ISM, RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb927.11.6780	Tb927.11.6780:mRNA	regulator of chromatin condensation, putative	Ran GTPase binding, chromatin binding	N/A	EXP, ISM	N/A	GO:0008536, GO:0003682	N/A	N/A	N/A	N/A	GO:0097014, GO:0031981	ciliary cytoplasm, nuclear lumen	GO:0051276	chromosome organization	
Tb927.11.6790	Tb927.11.6790:mRNA	predicted WD40 repeat protein	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	GO:0006364	rRNA processing	N/A	N/A	N/A	N/A	
Tb927.11.680	Tb927.11.680:mRNA	ribosomal protein L21E (60S), putative	structural constituent of ribosome	structural constituent of ribosome	EXP, IEA, ISM	GO:0003735	GO:0003735	GO:0005840	ribosome	GO:0006412	translation	GO:0005840	ribosome	GO:0006412	translation	
Tb927.11.6810	Tb927.11.6810:mRNA	tubulin-tyrsoine ligase-like protein, putative	tubulin-tyrosine ligase activity	N/A	IEA, ISM	N/A	GO:0004835	N/A	N/A	GO:0006464	cellular protein modification process	N/A	N/A	GO:0006464	cellular protein modification process	
Tb927.11.6820	Tb927.11.6820:mRNA	hypothetical protein, conserved	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005930	axoneme	N/A	N/A	
Tb927.11.6830	Tb927.11.6830:mRNA	Domain of unknown function(DUF2779), putative	N/A	N/A	EXP, RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737, GO:0005739	cytoplasm, mitochondrion	N/A	N/A	
Tb927.11.6840	Tb927.11.6840:mRNA	hypothetical protein, conserved	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737	cytoplasm	N/A	N/A	
Tb927.11.6870	Tb927.11.6870:mRNA	14-3-3 protein 2	protein phosphorylated amino acid binding	protein domain specific binding	EXP, IDA, IEA, IMP, IPI, ISA	GO:0019904	GO:0045309	N/A	N/A	N/A	N/A	GO:0020016, GO:0005737, GO:0016281, GO:0005634	ciliary pocket, cytoplasm, eukaryotic translation initiation factor 4F complex, nucleus	GO:0000077, GO:0006897, GO:0010608, GO:1902412, GO:0007088	DNA damage checkpoint, endocytosis, posttranscriptional regulation of gene expression, regulation of mitotic cytokinesis, regulation of mitotic nuclear division	
Tb927.11.6890	Tb927.11.6890:mRNA	DNA repair and recombination helicase protein PIF1	ATP-dependent DNA helicase activity, magnesium ion binding	DNA helicase activity	IDA, IEA, ISA, ISS, RCA	GO:0003678	GO:0004003, GO:0000287	N/A	N/A	GO:0006281, GO:0000723	DNA repair, telomere maintenance	GO:0005739, GO:0005634	mitochondrion, nucleus	GO:0006310, GO:0000723	DNA recombination, telomere maintenance	
Tb927.11.6900	Tb927.11.6900:mRNA	DNA repair and recombination helicase protein PIF2	ATP binding, ATP-dependent DNA helicase activity, magnesium ion binding	DNA helicase activity	IDA, IEA, ISA	GO:0003678	GO:0005524, GO:0004003, GO:0000287	N/A	N/A	GO:0006281, GO:0000723	DNA repair, telomere maintenance	GO:0005739	mitochondrion	GO:0006310, GO:0006264, GO:0000723	DNA recombination, mitochondrial DNA replication, telomere maintenance	
Tb927.11.6920	Tb927.11.6920:mRNA	hypothetical protein, conserved	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005930	axoneme	N/A	N/A	
